DEPTH	Simplex_Low	Simplex_High	Duplex_Low	Duplex_High	Triplex_Low	Triplex_High	Tetraplex_Low	Tetraplex_High	Pentaplex_Low	Pentaplex_High
189	0.121693122	0.211640212	0.28042328	0.391534392	0.439153439	0.560846561	0.608465608	0.724867725	0.788359788	0.873015873
190	0.121052632	0.210526316	0.278947368	0.389473684	0.442105263	0.557894737	0.610526316	0.721052632	0.789473684	0.878947368
191	0.120418848	0.209424084	0.277486911	0.392670157	0.439790576	0.560209424	0.607329843	0.722513089	0.785340314	0.87434555
192	0.125	0.213541667	0.276041667	0.390625	0.4375	0.557291667	0.609375	0.723958333	0.786458333	0.875
193	0.124352332	0.212435233	0.279792746	0.388601036	0.440414508	0.559585492	0.611398964	0.720207254	0.787564767	0.875647668
194	0.12371134	0.211340206	0.278350515	0.386597938	0.443298969	0.56185567	0.608247423	0.721649485	0.788659794	0.87628866
195	0.123076923	0.21025641	0.276923077	0.38974359	0.441025641	0.558974359	0.61025641	0.723076923	0.78974359	0.876923077
196	0.12244898	0.209183673	0.280612245	0.387755102	0.43877551	0.56122449	0.612244898	0.724489796	0.790816327	0.87755102
197	0.121827411	0.21319797	0.279187817	0.390862944	0.441624365	0.558375635	0.609137056	0.720812183	0.78680203	0.873096447
198	0.121212121	0.212121212	0.277777778	0.388888889	0.439393939	0.560606061	0.611111111	0.722222222	0.787878788	0.873737374
199	0.125628141	0.211055276	0.27638191	0.386934673	0.442211055	0.557788945	0.613065327	0.72361809	0.788944724	0.874371859
200	0.125	0.21	0.28	0.39	0.445	0.56	0.61	0.72	0.79	0.875
